architecture,year,hours,field,heldout_nrmse,full_nrmse,heldout_minus_full,full_gain_pct,delta_ci95_low,delta_ci95_median,delta_ci95_high,bootstrap_draws_full_not_better,bootstrap_tail_probability_full_not_better,bootstrap_probability_at_floor,comparability
WeatherBridge,2021,trained_hours,T925,0.014802452735707001,0.014735087756009421,6.736497969758032e-05,0.45509336121763205,6.472933124219453e-05,6.739444196406444e-05,7.007361402871651e-05,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,T850,0.016359462936342144,0.016238340340878264,0.00012112259546388088,0.7403824681482056,0.00011781478371738398,0.00012110447439847051,0.00012453985071301615,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,T700,0.014562406343621654,0.014542398908072166,2.0007435549487806e-05,0.1373909989694188,1.7926429719694603e-05,2.0005968642335635e-05,2.2078471616830554e-05,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,U1000,0.06133047977729587,0.06169990798333571,-0.00036942820603984294,-0.6023566216688929,-0.00037971717993191855,-0.0003694013984488209,-0.0003589509621703211,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,U925,0.05649816272482574,0.05670739410771228,-0.00020923138288653914,-0.37033307420207706,-0.0002190290550533937,-0.00020932978205697936,-0.00019964604420428158,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,U850,0.05759425597483662,0.057632201036426,-3.794506158938393e-05,-0.06588341310626954,-4.672925355450053e-05,-3.7906211242985655e-05,-2.8795611328072756e-05,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,U700,0.05605562990521787,0.05590228716157735,0.00015334274364051798,0.27355458122546983,0.0001443548180413817,0.00015335772998302521,0.00016235259313495987,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,V1000,0.10379396214591219,0.10449544506589568,-0.0007014829199834954,-0.6758417401942514,-0.0007198508634581342,-0.0007014585104866619,-0.0006831097747101663,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,V925,0.12224246164269363,0.12276807242647354,-0.0005256107837799118,-0.42997398507585377,-0.0005488312977814901,-0.0005254231958278302,-0.0005030284091024521,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,V850,0.16187245264526962,0.16235571936540696,-0.0004832667201373486,-0.2985478456895866,-0.000509862818796749,-0.0004832995393805467,-0.000456608815161795,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,V700,0.19396144212328212,0.1944815679845208,-0.0005201258612386739,-0.2681594112442623,-0.0005528695270301829,-0.0005205328804783194,-0.00048675966721260864,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,Q1000,0.02289172791958519,0.02292464189984315,-3.291398025796061e-05,-0.14378110893848606,-3.7475768666507624e-05,-3.287399738932488e-05,-2.84667513129425e-05,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,Q925,0.036894331427071055,0.03682712678176004,6.720464531101422e-05,0.1821543925897058,6.29933258300932e-05,6.718095849428396e-05,7.147287125684951e-05,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,Q850,0.04888951352002721,0.048516199037441726,0.00037331448258548505,0.763588049270647,0.00036346558389244496,0.00037317213843336347,0.0003832448516829798,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,Q700,0.06577499503159577,0.06561725926280376,0.00015773576879200835,0.23981114512625681,0.0001489405726159538,0.00015766424865860246,0.00016662254745262,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,Z1000,0.020071157132832678,0.020429333798993702,-0.0003581766661610239,-1.7845342138999725,-0.0003670522534937388,-0.00035823136190839787,-0.00034947943462901136,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,Z925,0.015939636941825045,0.01625166047663561,-0.00031202353481056544,-1.9575322571609313,-0.00031948433387256347,-0.0003120256106395169,-0.000304749281208472,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,Z850,0.012472958441535004,0.012733593610952653,-0.0002606351694176487,-2.089601842572749,-0.0002666996406330141,-0.0002606440782184369,-0.0002546815236351871,5000,1.0,False,optimizer_budget_and_seed_matched
